country,rnd_1_year_growth_%,capex_1_year_growth_%,capex_eur_million,capex_int_%,company,employees,employees_1_year_growth_%,eu_rank,industrial_sector,profitability_%,profits_1_year_growth_%,profits_losses_eur_million,rnd_eur_million,rnd_intensity_%,sales_1_year_growth_%,sales_eur_million,year
denmark,-3.76,,,0.0,danfoss,22.49,-2.33,141,industrial engineering,11.96,13.72,553.28,179.09,3.87,2.22,4625.27,2014
belgium,17.3,13.6,3619.96,9.34,anheuser-busch inbev,154.03,-0.36,142,beverages,31.79,4.37,12321.88,178.73,0.46,8.95,38763.67,2014
the netherlands,5.59,29.11,81.86,3.32,gemalto,0.0,-100.0,143,electronic & electrical equipment,11.02,-3.76,271.61,175.22,7.11,3.2,2465.16,2014
spain,1.0,,420.14,6.47,acciona,33.56,-1.61,144,construction & materials,9.19,-167.6,597.41,174.9,2.7,-1.64,6498.5,2014
ireland,-2.7,-3.59,192.32,1.81,ingersoll-rand,43.0,2.38,145,industrial engineering,10.9,27.12,1156.99,174.86,1.65,4.38,10618.07,2014
uk,-13.77,,,0.0,square enix,0.2,-5.31,146,software & computer services,-8.41,-522.45,-11.25,173.02,129.34,-39.41,133.77,2014
spain,40.34,,235.89,7.03,grifols,13.98,18.69,147,pharmaceuticals & biotechnology,25.56,16.51,857.69,171.92,5.12,22.38,3355.38,2014
spain,7.03,,3363.42,11.2,iberdrola,28.02,-8.66,148,electricity,13.25,60.16,3978.58,170.45,0.57,-8.46,30032.27,2014
uk,8.8,6.14,37.8,1.62,daily mail and general trust,9.95,-2.53,149,media,18.94,30.46,441.08,170.08,7.3,0.54,2328.41,2014
france,-35.98,-10.43,249.0,2.47,vivendi,33.56,,150,media,7.3,15.54,736.0,169.0,1.68,-1.59,10089.0,2014
uk,-9.27,39.72,25.33,1.51,sage,12.59,-4.89,151,software & computer services,22.9,-18.42,384.77,168.67,10.04,-5.04,1679.97,2014
germany,9.09,32.6,301.0,4.79,beiersdorf,17.4,4.13,152,personal & household goods,11.26,-4.45,708.0,168.0,2.67,2.34,6285.0,2014
sweden,11.15,2.52,142.77,2.36,assa abloy,44.27,4.03,153,construction & materials,16.25,33.11,983.5,164.48,2.72,17.25,6051.63,2014
france,11.06,-21.89,232.0,4.09,essilor international,58.03,5.27,154,health care equipment & services,23.63,45.65,1340.0,164.37,2.9,11.94,5670.0,2014
finland,-24.77,-23.26,99.0,2.05,wartsila,17.72,-3.27,155,industrial engineering,14.4,66.75,697.0,164.0,3.39,3.95,4839.0,2014
uk,27.8,2.89,19.64,2.06,dialog semiconductor,1.37,24.82,156,technology hardware & equipment,16.08,81.09,153.12,163.39,17.16,28.04,952.23,2014
germany,-13.98,-1.6,614.0,7.67,lanxess,16.58,-4.38,157,chemicals,2.61,-309.0,209.0,160.0,2.0,-3.54,8006.0,2014
uk,7.86,-40.29,15.6,6.86,imagination technologies,1.65,8.04,158,technology hardware & equipment,-4.76,-431.17,-10.83,159.23,69.97,3.62,227.57,2014
denmark,-34.02,123.29,163.0,2.36,vestas wind systems,19.67,26.92,159,alternative energy,9.07,202.9,627.0,159.0,2.3,13.58,6910.0,2014
ireland,10.92,,,0.0,tyco international,0.0,,160,general industrials,6.74,-26.71,574.09,158.97,1.87,-2.88,8516.59,2014
germany,14.98,17.09,100.7,2.57,mtu aero engines,8.33,-4.16,161,aerospace & defence,8.62,7.76,337.4,158.1,4.04,4.6,3913.9,2014
uk,-26.22,-53.89,494.94,2.29,wm morrison supermarkets,119.78,-5.98,162,food & drug retailers,-4.94,774.74,-1068.3,155.55,0.72,-4.89,21617.99,2014
france,7.64,-2.29,470.0,7.9,arkema,14.14,4.6,163,chemicals,6.49,-28.91,386.0,155.0,2.6,-2.39,5952.0,2014
ireland,23.15,-20.16,112.84,2.98,perrigo,13.5,32.09,164,pharmaceuticals & biotechnology,16.24,31.87,615.85,154.68,4.08,13.37,3792.03,2014
denmark,-4.36,,,0.0,grundfos,2.75,-1.33,165,industrial engineering,2.96,-36.41,21.85,153.66,20.78,-3.21,739.39,2014
uk,8.15,-37.02,42.42,2.12,meggitt,10.69,-3.17,166,aerospace & defence,15.27,-21.27,304.94,153.5,7.68,-5.11,1997.38,2014
ireland,60.11,103.78,25.76,1.38,king digital entertainment,1.2,80.45,167,software & computer services,32.74,3.24,609.57,152.32,8.18,19.95,1861.66,2014
sweden,18.32,26.92,31.62,2.74,elekta,3.84,1.83,168,health care equipment & services,8.96,-41.01,103.37,151.28,13.11,1.36,1153.94,2014
germany,5.69,15.11,66.46,5.64,kws saat,4.85,9.09,169,food producers,11.15,-8.04,131.35,148.82,12.63,2.68,1178.01,2014
germany,12.27,-16.23,54.39,1.84,krones,12.62,2.76,170,industrial engineering,6.15,3.41,181.65,148.69,5.03,4.89,2953.41,2014
belgium,1.21,-28.47,190.8,2.16,umicore,14.07,36.73,171,industrial metals & mining,2.71,-16.22,239.36,147.99,1.68,-10.09,8828.51,2014
belgium,0.0,-5.26,36.0,1.37,agfa-gevaert,10.51,-4.9,172,electronic & electrical equipment,5.11,-25.14,134.0,146.0,5.57,-8.55,2620.0,2014
the netherlands,-9.88,,,0.0,ing,55.95,-13.09,173,banks,24.73,-8.93,3855.0,146.0,0.94,1.01,15590.0,2014
germany,30.8,,,0.0,merz,3.18,10.26,174,pharmaceuticals & biotechnology,22.95,-26.97,239.91,142.83,13.67,1.38,1045.24,2014
sweden,0.45,34.81,77.93,3.11,saab,14.72,4.07,175,aerospace & defence,5.87,13.09,147.13,142.45,5.69,-0.94,2504.73,2014
austria,-6.93,20.17,1061.35,9.49,voestalpine,44.57,-0.22,176,industrial metals & mining,7.56,5.66,846.23,142.4,1.27,1.01,11189.49,2014
germany,10.02,39.52,80.92,3.82,symrise,8.16,34.1,177,chemicals,14.11,6.83,299.18,140.03,6.6,15.83,2120.11,2014
hungary,4.08,12.27,90.29,8.03,richter gedeon,11.6,-0.35,178,pharmaceuticals & biotechnology,10.67,-18.73,119.98,138.79,12.35,0.52,1124.28,2014
uk,-4.53,-4.6,69.29,1.83,smiths,23.2,-0.22,179,electronic & electrical equipment,12.79,-23.3,485.43,138.07,3.64,-5.05,3794.46,2014
germany,2.99,,,0.0,eberspaecher,7.63,7.42,180,automobiles & parts,1.81,-40.71,52.88,138.0,4.73,3.18,2916.38,2014
the netherlands,58.62,,,0.0,rabobank,52.56,-9.76,181,banks,13.07,290.93,1681.0,138.0,1.07,-1.33,12857.0,2014
ireland,0.72,-13.59,105.26,5.03,mallinckrodt,5.5,0.0,182,pharmaceuticals & biotechnology,2.2,-60.61,46.04,137.47,6.57,15.24,2092.41,2014
sweden,3.9,-10.51,124.13,4.37,getinge,14.86,0.92,183,health care equipment & services,9.92,-29.4,281.7,136.06,4.79,5.47,2839.24,2014
the netherlands,12.02,0.0,62.67,5.66,qiagen,4.02,0.0,184,pharmaceuticals & biotechnology,5.86,142.14,64.86,134.77,12.17,3.29,1107.63,2014
uk,10.49,,,0.0,kaspersky labs,3.02,2.3,185,software & computer services,7.42,54.46,42.14,134.06,23.61,11.96,567.7,2014
sweden,9.87,42.09,120.41,3.44,husqvarna,14.55,2.81,186,industrial engineering,4.83,-1.49,168.96,133.93,3.83,8.35,3496.0,2014
uk,23.48,,,0.0,mundipharma research,0.28,3.32,187,pharmaceuticals & biotechnology,8.99,18.42,14.44,132.9,82.76,20.13,160.6,2014
germany,6.22,,,0.0,korber,10.06,9.7,188,general industrials,8.91,-11.8,195.45,132.82,6.05,9.49,2193.75,2014
italy,-11.46,,361.62,10.18,prada,11.96,10.6,189,personal goods,19.75,-25.31,701.55,132.76,3.74,-0.99,3551.7,2014
germany,-17.87,,,0.0,voith,40.58,-8.48,190,general industrials,3.71,-35.47,198.2,132.26,2.47,-6.69,5345.11,2014
france,-20.06,4.67,712.63,27.95,cgg,9.69,0.0,191,"oil equipment, services & distribution",-22.73,58.81,-579.61,130.14,5.1,-17.8,2549.54,2014
uk,53.05,-2.47,4920.51,22.07,anglo american,95.0,-3.06,192,mining,1.4,-87.29,311.34,129.84,0.58,-7.73,22298.81,2014
france,16.08,28.74,51.71,3.22,ingenico,5.5,18.0,193,electronic & electrical equipment,17.0,44.19,273.21,129.52,8.06,17.24,1607.34,2014
france,-7.19,-6.25,60.0,1.8,technicolor,14.2,1.44,194,media,9.06,34.82,302.0,129.0,3.87,-3.42,3332.0,2014
germany,-0.85,,,0.0,giesecke & devrient,11.52,5.73,195,support services,3.5,-36.87,61.3,128.9,7.35,-2.0,1753.6,2014
ireland,8.23,-16.64,66.24,2.8,endo international,5.06,50.16,196,pharmaceuticals & biotechnology,-30.39,-1036.33,-720.2,127.01,5.36,9.95,2369.81,2014
uk,35.67,18.56,670.81,5.06,marks & spencer,83.07,-3.2,197,general retailers,6.7,13.78,888.19,126.63,0.96,0.02,13255.93,2014
portugal,-3.85,,0.05,,pharol,0.0,-100.0,198,fixed line telecommunications,,729.2,-151.9,125.0,,,,2014
uk,10.11,9.83,81.89,3.44,cobham,10.94,8.43,199,aerospace & defence,3.09,-63.67,73.66,124.57,5.23,3.46,2380.47,2014
germany,18.45,-9.48,1957.0,11.48,linde,65.59,3.31,200,chemicals,10.5,-16.04,1790.0,122.0,0.72,2.35,17047.0,2014
germany,26.64,17.11,29.5,3.66,sma solar technology,5.53,-4.76,201,alternative energy,-21.29,92.32,-171.44,121.83,15.13,-13.63,805.43,2014
germany,3.22,13.89,58.47,2.51,heidelberger druckmaschinen,12.38,-5.08,202,industrial engineering,5.12,17.14,119.5,120.66,5.17,-4.13,2333.68,2014
germany,4.82,151.59,316.5,6.77,kion,22.67,1.78,203,industrial engineering,7.5,-3.92,350.8,119.7,2.56,4.08,4677.9,2014
germany,8.82,,,0.0,sick,6.57,5.11,204,electronic & electrical equipment,9.43,17.12,103.68,116.05,10.55,8.94,1099.79,2014
france,11.01,-4.64,15.02,6.61,gameloft,6.72,5.1,205,software & computer services,1.73,-84.25,3.93,115.96,51.02,-2.58,227.28,2014
germany,15.15,57.01,862.0,1.37,metro,255.03,-5.37,206,general retailers,1.84,112.64,1161.0,114.0,0.18,36.08,63035.0,2014
germany,4.16,,,0.0,altana,6.06,5.63,207,chemicals,13.51,12.9,263.75,113.92,5.84,10.58,1952.26,2014
france,-0.88,-9.37,861.0,6.7,lafarge,44.27,-30.49,208,construction & materials,9.09,-28.87,1168.0,113.0,0.88,-1.89,12843.0,2014
sweden,4.55,3.3,610.35,5.51,sca,43.77,28.73,209,forestry & paper,11.39,49.48,1261.47,112.42,1.01,16.89,11077.81,2014
france,38.94,24.59,475.44,4.48,bollore,54.31,1.31,210,industrial transportation,6.32,6.27,670.69,112.4,1.06,-2.32,10616.26,2014
germany,5.75,43.0,219.66,5.35,leoni,67.99,10.39,211,electronic & electrical equipment,4.59,14.53,188.51,111.48,2.72,4.74,4103.43,2014
uk,-2.26,-13.56,35.22,2.33,spectris,7.68,4.52,212,electronic & electrical equipment,14.34,-10.24,216.36,111.2,7.37,-2.35,1508.86,2014
ireland,42.31,,,0.0,bank of ireland,11.09,-1.5,213,banks,30.03,-276.92,920.0,111.0,3.62,20.3,3064.0,2014
germany,1.06,-21.43,10.87,1.27,software,4.42,-15.6,214,software & computer services,19.54,-17.68,167.6,109.06,12.71,-11.81,857.83,2014
germany,-9.59,,,0.0,webasto,10.1,-3.97,215,automobiles & parts,5.28,10.78,130.28,108.87,4.41,8.37,2469.42,2014
slovenia,11.45,14.74,174.03,14.6,krka,10.5,4.49,216,pharmaceuticals & biotechnology,23.24,21.96,276.95,108.37,9.09,-0.77,1191.61,2014
uk,9.86,,,0.0,red bull technology,0.68,2.58,217,automobiles & parts,3.81,112.37,12.64,106.93,32.21,11.35,331.95,2014
italy,1.42,-43.93,122.19,2.83,fincantieri,21.69,6.38,218,industrial engineering,4.57,7.59,197.21,105.33,2.44,15.46,4314.96,2014
the netherlands,-15.33,-3.97,1234.66,3.29,lyondellbasell industries,13.1,-1.5,219,chemicals,12.02,12.08,4516.92,104.6,0.28,3.49,37565.26,2014
austria,3.22,,,,borealis,0.0,,220,chemicals,,-100.0,,104.45,,-100.0,,2014
finland,26.83,-83.96,68.0,0.67,stora enso,27.2,-3.65,221,forestry & paper,4.96,789.47,507.0,104.0,1.02,-3.14,10213.0,2014
uk,162.35,70.98,4.1,0.6,micro focus international,2.52,106.32,222,software & computer services,16.63,-13.73,114.29,103.9,15.11,92.71,687.37,2014
germany,-16.31,16.86,499.0,3.43,adidas,53.73,5.92,223,personal goods,6.07,-26.56,882.0,103.78,0.71,0.29,14534.0,2014
france,6.04,12.51,1380.4,5.75,veolia environnement,179.51,-11.49,224,"gas, water & multi-utilities",6.12,68.86,1467.6,103.6,0.43,3.89,23996.3,2014
germany,-0.67,9.65,923.5,7.32,heidelbergcement,44.91,-0.58,225,construction & materials,11.67,24.69,1472.1,103.2,0.82,4.01,12614.3,2014
finland,6.84,26.61,98.0,1.34,kone,47.06,8.7,226,industrial engineering,13.58,7.67,995.8,103.1,1.41,5.8,7334.5,2014
the netherlands,-17.53,,,0.0,unify holdings,7.75,,227,technology hardware & equipment,-12.64,-11.75,-174.07,102.96,7.48,-17.53,1376.78,2014
uk,13.09,,,0.0,holkham group,4.44,,228,household goods & home construction,22.31,,370.76,102.2,6.15,,1661.59,2014
finland,4.2,-21.85,51.5,5.07,orion oyj,3.45,-2.54,229,pharmaceuticals & biotechnology,26.79,2.76,272.0,101.8,10.03,0.83,1015.3,2014
uk,30.93,,,0.0,aston martin uk,1.24,5.63,230,automobiles & parts,0.29,-117.4,1.91,101.46,15.19,12.59,667.91,2014
spain,-20.6,,40.15,5.11,almirall,2.64,-10.95,231,pharmaceuticals & biotechnology,63.02,-836.45,495.61,100.6,12.79,13.49,786.4,2014
spain,-7.16,,,0.0,abengoa,24.32,-1.72,232,general industrials,14.65,31.96,1047.7,99.73,1.39,-2.8,7150.57,2014
germany,9.82,,,0.0,vaillant,12.14,4.46,233,industrial engineering,9.32,19.29,222.0,99.5,4.18,2.14,2381.1,2014
austria,-8.36,,,,benteler international,0.0,,234,automobiles & parts,,-100.0,,99.41,,-100.0,,2014
germany,-8.33,,,0.0,norddeutsche landesbank girozentrale,6.23,-2.6,235,banks,11.5,97.14,276.0,99.0,4.13,-4.19,2400.0,2014
germany,-0.37,21.67,47.74,1.93,wincor nixdorf,9.2,4.21,236,software & computer services,6.28,17.81,154.96,98.34,3.98,0.18,2469.42,2014
germany,12.8,,,0.0,phoenix contact,12.51,6.72,237,electronic & electrical equipment,7.55,-43.6,121.0,98.21,6.13,2.31,1601.91,2014
ireland,-6.76,-23.76,106.75,1.84,pentair,28.4,-0.7,238,industrial engineering,12.1,9.81,701.67,96.61,1.67,-5.89,5797.71,2014
france,9.57,-31.54,388.18,6.81,vallourec,23.16,1.07,239,industrial engineering,-10.83,-198.6,-617.4,95.74,1.68,2.19,5700.54,2014
denmark,16.37,2.05,46.96,4.75,gn store nord,5.08,0.5,240,technology hardware & equipment,16.49,-2.5,162.81,95.67,9.69,8.08,987.62,2014
uk,14.83,40.61,26.52,7.04,spirent communications,1.73,14.07,241,technology hardware & equipment,5.12,-41.21,19.27,95.05,25.24,10.57,376.58,2014
uk,51.32,-100.0,,0.0,indivior,0.74,5.86,242,pharmaceuticals & biotechnology,49.24,-21.01,452.19,94.72,10.31,-8.31,918.38,2014
the netherlands,1.83,,,0.0,transmissions and engineering services netherlands,8.62,0.75,243,industrial engineering,8.31,4.08,269.07,93.2,2.88,0.87,3237.56,2014
uk,-14.29,,,,old mutual,0.0,-100.0,244,life insurance,,-28.8,-10136.65,92.56,,,,2014
uk,-51.52,-37.22,6722.67,17.12,rio tinto,59.78,-9.88,245,mining,30.05,70.86,11798.86,92.25,0.23,-6.85,39258.69,2014
germany,76.09,32.98,111.55,5.0,dmg mori ag,7.17,6.61,246,industrial engineering,7.74,4.8,172.61,91.39,4.1,8.51,2229.01,2014
germany,4.87,-22.18,93.78,2.08,gea,18.25,-26.88,247,industrial engineering,9.62,3.86,434.3,91.39,2.02,4.53,4515.69,2014
belgium,-16.16,204.88,69.72,7.68,barco,3.32,-16.54,248,electronic & electrical equipment,3.03,-66.22,27.51,90.17,9.93,-21.56,908.37,2014
austria,24.98,16.82,76.58,5.83,zumtobel,7.23,-0.78,249,electronic & electrical equipment,3.13,238.36,41.09,89.74,6.84,5.28,1312.62,2014
uk,58.98,,,0.0,ti fluid systems,24.83,24.06,250,automobiles & parts,4.9,-46.47,131.69,89.35,3.32,-1.03,2689.94,2014
germany,1.37,-5.0,294.6,3.26,salzgitter,25.53,-0.64,251,industrial metals & mining,0.63,-121.99,56.7,89.1,0.99,-2.9,9040.2,2014
luxembourg,1.23,-91.59,52.21,0.61,tenaris,27.82,3.69,252,"oil equipment, services & distribution",18.71,-11.46,1593.26,88.05,1.03,-2.44,8514.91,2014
uk,43.19,-15.52,12.6,2.66,btg,0.99,27.06,253,pharmaceuticals & biotechnology,10.28,-7.8,48.59,87.8,18.57,26.61,472.83,2014
spain,-22.32,,2606.0,5.74,repsol ypf,24.29,-19.83,254,oil & gas producers,-1.73,-128.68,-784.0,87.0,0.19,-18.5,45433.0,2014
denmark,2.54,10.24,60.82,4.84,william demant,9.8,7.45,255,health care equipment & services,18.82,-1.4,236.68,86.79,6.9,1.49,1257.54,2014
france,7.08,64.27,187.6,4.41,groupe seb,25.45,3.12,256,household goods & home construction,7.21,-15.69,306.8,86.2,2.03,2.21,4253.1,2014
uk,-25.3,20.37,21.42,0.99,pace,2.01,-1.8,257,technology hardware & equipment,7.15,31.09,154.19,86.07,3.99,6.11,2157.98,2014
germany,-0.23,,,0.0,heraeus,12.51,1.34,258,industrial metals & mining,1.2,-25.08,187.3,85.8,0.55,-8.52,15588.9,2014
italy,14.11,,22.23,2.25,recordati,3.92,-0.96,259,pharmaceuticals & biotechnology,23.48,17.93,231.84,85.27,8.64,4.86,987.36,2014
uk,-26.67,18.63,155.55,5.14,tate & lyle,4.06,5.67,260,food producers,7.43,-33.21,224.97,84.85,2.8,-14.45,3028.78,2014
austria,-9.01,-4.4,106.45,1.82,andritz,24.85,4.81,261,industrial engineering,5.23,233.44,306.42,84.28,1.44,2.6,5859.27,2014
italy,8.38,,,0.0,lottomatica,8.74,0.13,262,travel & leisure,19.33,6.68,593.42,84.1,2.74,0.22,3069.65,2014
belgium,0.0,11.62,951.0,15.95,proximus,14.19,-9.63,263,fixed line telecommunications,15.38,1.44,917.0,84.0,1.41,-4.46,5961.0,2014
denmark,26.89,,,0.0,arla foods,19.16,-2.16,264,food producers,3.4,-9.63,361.0,84.0,0.79,7.65,10614.0,2014
sweden,13.11,22.56,64.2,1.72,alfa laval,17.75,9.17,265,industrial engineering,13.32,7.31,497.28,83.57,2.24,17.67,3733.31,2014
germany,12.47,10.5,37.45,1.82,stada arzneimittel,10.36,5.48,266,pharmaceuticals & biotechnology,10.57,-17.89,217.9,83.01,4.02,2.91,2062.25,2014
france,9.4,-34.77,359.6,3.57,technip,38.3,-1.43,267,"oil equipment, services & distribution",7.09,-14.98,714.0,82.6,0.82,13.86,10073.9,2014
uk,34.1,-39.85,30.08,0.59,serco,95.46,0.5,268,support services,-32.48,-1025.43,-1651.3,82.4,1.62,-7.68,5084.39,2014
greece,30.16,,,0.0,national bank of greece,34.63,-4.62,269,banks,-39.89,694.41,-1422.0,82.0,2.3,0.2,3565.0,2014
germany,40.35,,,0.0,deutsche bahn,295.76,0.04,270,travel & leisure,4.04,-7.97,1605.0,80.0,0.2,1.59,39728.0,2014
italy,4.98,,143.0,2.09,prysmian,19.44,0.32,271,electronic & electrical equipment,2.98,-40.0,204.0,80.0,1.17,-5.95,6840.0,2014
germany,-0.19,,,0.0,hager,10.58,-0.93,272,industrial engineering,10.0,3.97,143.52,79.79,5.56,-0.91,1435.63,2014
spain,11.06,,,0.0,industria de turbo propulsores,5.55,-0.29,273,aerospace & defence,5.61,54.71,73.25,79.02,6.06,8.11,1304.74,2014
italy,-5.95,,6021.0,8.21,enel,68.96,-3.41,274,electricity,8.45,-48.63,6198.0,79.0,0.11,-5.09,73328.0,2014
the netherlands,1.3,,,0.0,koninklijke frieslandcampina,22.17,4.64,275,food producers,4.31,-4.68,489.0,78.0,0.69,-0.61,11348.0,2014
france,-15.38,8.84,1502.0,4.53,bouygues,127.47,-0.47,276,construction & materials,3.7,-28.53,1225.69,77.0,0.23,0.05,33138.0,2014
finland,0.0,11.75,48.5,2.18,amer sports,7.63,4.09,277,leisure goods,5.1,-26.46,113.7,76.2,3.42,4.32,2228.7,2014
the netherlands,1.33,-9.74,732.0,2.23,ahold,227.0,2.25,278,food & drug retailers,3.89,2.0,1274.0,76.0,0.23,0.49,32774.0,2014
spain,-16.43,,55.38,1.95,gamesa,6.24,-0.59,279,industrial engineering,7.36,-41.74,209.58,75.77,2.66,21.86,2846.16,2014
austria,20.8,,,,novomatic,0.0,,280,travel & leisure,,-100.0,,75.5,,-100.0,,2014
france,-1.32,-17.01,161.0,2.51,nexans,26.14,1.16,281,electronic & electrical equipment,-0.55,-80.56,-35.0,75.0,1.17,-4.59,6403.0,2014
france,6.51,,,0.0,nexter,0.0,,282,aerospace & defence,13.05,27.5,136.75,74.51,7.11,33.07,1047.59,2014
uk,17.78,-19.75,7009.3,44.12,bg,5.14,-7.1,283,oil & gas producers,33.07,-14.68,5253.27,74.21,0.47,-0.72,15887.48,2014
france,0.0,-1.39,1076.6,7.52,suez environnement,80.99,2.24,284,"gas, water & multi-utilities",7.0,-7.96,1003.1,74.0,0.52,0.01,14324.1,2014
france,4.29,-4.07,1721.0,5.55,christian dior,117.81,8.53,285,personal goods,19.0,-1.44,5887.0,73.0,0.24,3.69,30984.0,2014
italy,6.73,,44.26,5.93,sorin,3.91,4.77,286,health care equipment & services,8.82,-22.03,65.86,72.79,9.75,1.14,746.87,2014
france,-47.83,,,0.0,edenred,6.26,1.43,287,support services,30.37,-5.71,314.0,72.0,6.96,0.39,1034.0,2014
italy,12.5,,917.0,24.23,snam,6.07,0.45,288,"gas, water & multi-utilities",52.03,-3.62,1969.0,72.0,1.9,1.31,3784.0,2014
sweden,-3.3,,,0.0,carl bennet,21.29,8.82,289,support services,9.78,-18.18,387.74,71.86,1.81,11.33,3964.54,2014
uk,14.75,23.91,62.2,9.78,renishaw,3.81,13.93,290,electronic & electrical equipment,29.14,49.3,185.33,71.01,11.16,39.16,635.99,2014
ireland,82.71,264.34,29.94,3.1,jazz pharmaceuticals,0.87,7.41,291,pharmaceuticals & biotechnology,20.03,-30.96,193.52,70.16,7.26,34.44,966.04,2014
uk,15.96,,,0.0,quintiles,2.21,8.14,292,pharmaceuticals & biotechnology,19.48,63.05,169.41,70.06,8.06,19.76,869.59,2014
austria,8.9,48.87,70.1,15.1,austriamicrosystems,1.64,17.36,293,technology hardware & equipment,22.68,65.04,105.34,69.76,15.02,22.92,464.37,2014
uk,42.11,-36.44,96.42,1.54,pearson,40.88,-2.94,294,media,8.12,-16.46,509.08,69.42,1.11,-3.85,6265.82,2014
sweden,48.38,,,0.0,ess,0.25,48.19,295,pharmaceuticals & biotechnology,,46.25,-83.07,68.84,3283.86,91.26,2.1,2014
the netherlands,41.81,34.45,118.78,5.98,sensata technologies holding,17.15,41.74,296,electronic & electrical equipment,15.42,-1.8,306.06,67.69,3.41,21.72,1984.85,2014
germany,2.52,-4.28,7.09,2.09,adva,1.49,4.63,297,technology hardware & equipment,2.46,19.74,8.35,67.66,19.95,9.16,339.17,2014
uk,20.44,,,0.0,sophos,2.24,47.56,298,software & computer services,4.98,-358.28,19.26,67.36,17.41,32.44,386.85,2014
sweden,-16.73,,,0.0,vattenfall,30.18,-5.15,299,electricity,-1.32,-64.7,-233.68,67.28,0.38,-3.66,17666.86,2014
uk,-5.3,59.82,91.02,4.18,imi,11.75,-18.79,300,industrial engineering,44.42,119.51,966.23,66.59,3.06,-24.77,2175.17,2014
uk,-0.77,-25.88,8.1,1.32,betfair,1.9,9.32,301,travel & leisure,19.79,53.08,121.23,66.08,10.79,21.06,612.57,2014
france,5.27,,,0.0,lfb,0.0,-100.0,302,pharmaceuticals & biotechnology,5.02,27.27,25.2,65.9,13.13,5.18,501.9,2014
germany,0.43,27.12,147.02,11.09,elringklinger,7.26,8.03,303,automobiles & parts,11.65,-6.09,154.46,65.71,4.96,12.81,1325.83,2014
denmark,-9.83,,,0.0,lego,12.59,7.06,304,leisure goods,33.93,16.33,1304.76,65.39,1.7,12.59,3845.27,2014
germany,18.94,31.44,12.62,6.51,aixtron,0.79,1.68,305,technology hardware & equipment,-29.92,-39.77,-57.98,64.8,33.44,5.98,193.8,2014
denmark,7.11,17.97,7.05,4.31,bavarian nordic,0.42,-0.94,306,pharmaceuticals & biotechnology,1.37,-53.31,2.25,64.41,39.34,0.36,163.73,2014
uk,-55.36,,,0.0,rsa insurance,0.0,-100.0,307,nonlife insurance,0.99,-41.03,88.7,64.28,0.72,-13.61,8956.5,2014
the netherlands,-15.3,184.4,30.65,5.62,asm international,1.64,8.78,308,technology hardware & equipment,16.59,98.03,90.54,63.86,11.7,20.71,545.6,2014
germany,22.69,37.54,78.4,3.74,kuka,12.1,51.46,309,industrial engineering,6.87,11.29,143.9,63.8,3.04,18.1,2095.7,2014
uk,43.06,-4.97,6.2,5.07,monitise,0.94,68.57,310,software & computer services,-67.29,77.32,-82.27,63.62,52.04,30.64,122.26,2014
germany,14.11,46.04,74.96,12.47,wirecard,1.75,48.31,311,electronic & electrical equipment,21.88,34.21,131.5,63.48,10.56,24.76,601.03,2014
france,9.55,-4.34,44.1,3.96,neopost,6.16,1.17,312,technology hardware & equipment,19.57,-15.08,217.9,63.1,5.67,1.63,1113.4,2014
germany,14.31,60.02,37.11,2.55,gfk,13.38,3.69,313,support services,4.76,154.77,69.13,62.71,4.32,-2.8,1452.92,2014
uk,-54.59,-31.78,20.7,1.66,london stock exchange,4.69,64.81,314,financial services,24.07,-17.94,300.56,62.35,4.99,-10.74,1248.79,2014
uk,-9.43,,,0.0,icap,4.31,-12.83,315,financial services,7.57,-21.49,122.13,61.71,3.82,-8.39,1613.38,2014
uk,184.02,282.05,19.15,1.79,n brown,3.38,-1.6,316,general retailers,9.65,-22.57,103.23,61.71,5.77,1.66,1070.23,2014
finland,12.22,-27.5,65.9,1.96,cargotec,10.7,0.88,317,industrial engineering,3.78,40.89,126.8,59.7,1.78,5.56,3357.8,2014
germany,4.27,-34.81,104.46,4.06,hugo boss,12.99,3.95,318,personal goods,17.45,-1.63,448.72,59.44,2.31,5.74,2571.62,2014
belgium,-5.07,40.31,132.78,4.13,bekaert,0.0,-100.0,319,industrial metals & mining,5.33,12.98,171.25,59.26,1.84,0.94,3215.71,2014
france,8.97,19.26,18.97,7.78,parrot,0.94,14.15,320,technology hardware & equipment,0.25,-90.14,0.6,59.17,24.26,3.71,243.87,2014
the netherlands,17.96,2.49,14.12,4.58,avg technologies,1.38,36.13,321,software & computer services,21.21,-28.26,65.35,59.16,19.2,-8.12,308.11,2014
germany,-5.61,,,0.0,karl storz,6.2,5.44,322,health care equipment & services,7.36,-25.58,90.88,58.81,4.76,-3.42,1234.57,2014
finland,-3.33,-68.1,74.0,2.02,metso,15.64,-47.43,323,industrial engineering,9.81,9.45,359.0,58.0,1.59,-45.09,3658.0,2014
austria,121.79,81.86,165.32,24.78,austria technologie & systemtechnik,7.64,8.7,324,electronic & electrical equipment,13.38,60.11,89.21,57.94,8.69,13.07,667.01,2014
uk,2.05,71.76,28.93,3.98,laird,8.92,-3.85,325,electronic & electrical equipment,10.37,19.11,75.33,57.72,7.95,5.2,726.21,2014
uk,-4.11,-25.58,52.71,1.33,experian,16.68,-0.85,326,support services,24.05,5.76,952.97,57.66,1.46,-0.62,3961.78,2014
